ID,Actual Class,Predicted Class,Posterior Probability
1,Iris-setosa,Iris-setosa,1.0
2,Iris-setosa,Iris-setosa,1.0
3,Iris-setosa,Iris-setosa,1.0
4,Iris-setosa,Iris-setosa,1.0
5,Iris-setosa,Iris-setosa,1.0
6,Iris-setosa,Iris-setosa,1.0
7,Iris-setosa,Iris-setosa,1.0
8,Iris-setosa,Iris-setosa,1.0
9,Iris-setosa,Iris-setosa,1.0
10,Iris-setosa,Iris-setosa,1.0
11,Iris-setosa,Iris-setosa,1.0
12,Iris-setosa,Iris-setosa,1.0
13,Iris-setosa,Iris-setosa,1.0
14,Iris-setosa,Iris-setosa,1.0
15,Iris-setosa,Iris-setosa,1.0
16,Iris-setosa,Iris-setosa,1.0
17,Iris-setosa,Iris-setosa,1.0
18,Iris-setosa,Iris-setosa,1.0
19,Iris-setosa,Iris-setosa,1.0
20,Iris-setosa,Iris-setosa,1.0
21,Iris-versicolor,Iris-versicolor,1.0
22,Iris-versicolor,Iris-versicolor,0.8
23,Iris-versicolor,Iris-versicolor,1.0
24,Iris-versicolor,Iris-versicolor,1.0
25,Iris-versicolor,Iris-versicolor,1.0
26,Iris-versicolor,Iris-versicolor,0.8
27,Iris-versicolor,Iris-virginica,0.8
28,Iris-versicolor,Iris-virginica,1.0
29,Iris-versicolor,Iris-versicolor,1.0
30,Iris-versicolor,Iris-versicolor,1.0
31,Iris-versicolor,Iris-virginica,1.0
32,Iris-versicolor,Iris-virginica,1.0
33,Iris-versicolor,Iris-versicolor,1.0
34,Iris-versicolor,Iris-virginica,1.0
35,Iris-versicolor,Iris-virginica,1.0
36,Iris-versicolor,Iris-versicolor,0.8
37,Iris-versicolor,Iris-virginica,1.0
38,Iris-versicolor,Iris-virginica,0.8
39,Iris-versicolor,Iris-virginica,0.6
40,Iris-versicolor,Iris-versicolor,1.0
41,Iris-versicolor,Iris-virginica,0.8
42,Iris-versicolor,Iris-versicolor,1.0
43,Iris-versicolor,Iris-versicolor,0.6
44,Iris-versicolor,Iris-virginica,0.6
45,Iris-versicolor,Iris-versicolor,1.0
46,Iris-versicolor,Iris-virginica,0.8
47,Iris-versicolor,Iris-versicolor,0.8
48,Iris-versicolor,Iris-versicolor,1.0
49,Iris-versicolor,Iris-virginica,0.8
50,Iris-versicolor,Iris-versicolor,1.0
51,Iris-virginica,Iris-virginica,0.8
52,Iris-virginica,Iris-virginica,1.0
53,Iris-virginica,Iris-virginica,1.0
54,Iris-virginica,Iris-virginica,1.0
55,Iris-virginica,Iris-virginica,1.0
56,Iris-virginica,Iris-virginica,1.0
57,Iris-virginica,Iris-virginica,1.0
58,Iris-virginica,Iris-virginica,1.0
59,Iris-virginica,Iris-virginica,1.0
60,Iris-virginica,Iris-virginica,1.0
61,Iris-virginica,Iris-virginica,1.0
62,Iris-virginica,Iris-virginica,1.0
63,Iris-virginica,Iris-virginica,0.8
64,Iris-virginica,Iris-virginica,1.0
65,Iris-virginica,Iris-virginica,0.6
66,Iris-virginica,Iris-virginica,0.8
67,Iris-virginica,Iris-virginica,1.0
68,Iris-virginica,Iris-virginica,0.8
69,Iris-virginica,Iris-virginica,0.8
70,Iris-virginica,Iris-virginica,1.0
